lm_candidate_id,name,record_kind,region,area,locality,entity_type,role,affiliation,website,activity_tags,activity_summary,source_urls,source_count,source_domains,official_or_sector_source_count,exa_passes,exa_pass_count,raw_record_count,duplicate_collapsed,discovery_evidence_score,evidence_grade,candidate_tier,location_confidence,enhancement_status,enhancement_note,lm_record_status,lm_presence,verification_status,coordinate_status,latitude,longitude,boundary_match,boundary_match_confidence,staging_batch,staging_basis
exg-taranaki-800-trust,800 Trust,entity,Taranaki,,Cardiff | Omoana | Tututawa | East Stratford,Community conservation trust | Land restoration trust,,,https://action.wildfortaranaki.nz/projects/KKNAD2,Trapping | Native planting | Weed control | predator control | habitat monitoring,"Undertakes trapping, native planting, weed control and habitat/species monitoring. | The project combines planting, weeding, trapping and habitat monitoring on retired land.",https://wildfortaranaki.nz/member-spotlight-800-trust/ | https://action.wildfortaranaki.nz/projects/KKNAD2,2,action.wildfortaranaki.nz | wildfortaranaki.nz,2,01-LANDSCAPE | 03-GRASSROOTS,2,2,True,95,A — very strong,Tier 1 — priority LM candidate,high,enhanced_priority_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-andrew-meuli,Andrew Meuli,entity,Taranaki,,Kapuni,Ecological land steward,,,,wetland restoration | native planting | riparian planting | fencing,"Public programme material associates him with wetland protection, native planting and riparian management.",https://www.trc.govt.nz/assets/Documents/Guidelines/Land-infosheets/RiparianBookletDec2016.pdf,1,trc.govt.nz,1,02-PEOPLE,1,1,False,69,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-anne-maree-mckay,Anne-Maree McKay,entity,Taranaki,,Onaero | Urenui | Mimi | Taranaki,Steering Group Member,,,,environmental monitoring | kaitiakitanga | biodiversity management | catchment restoration,Involved in environmental monitoring from a Te Ao Māori perspective for Te Rūnanga o Ngāti Mutunga; studied Kaitiakitanga.,https://www.ngatimutunga.iwi.nz/te-runanga-o-ngati-mutunga/runanga-staff/ | https://deepsouthchallenge.co.nz/research-project/taranaki-climate-resilience-te-tirohanga-o-nga-tohu/ | https://www.taranakicc.nz/urenui-mimi-uruti/,3,deepsouthchallenge.co.nz | ngatimutunga.iwi.nz | taranakicc.nz,1,02-PEOPLE,1,1,False,78,A — very strong,Tier 1 — priority LM candidate,high,enhanced_priority_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-aorere-farms,Aorere Farms,entity,Taranaki,,Waitōtara catchment,Farm ecological project,,,,forest restoration | predator control,Public award material records forest covenanting and intensive pest control in support of kiwi habitat.,https://www.trc.govt.nz/environment/working-together/environmental-awards/previous-winners/2020-award-winners/environmental-leadership-in-land-management-2020,1,trc.govt.nz,1,03-GRASSROOTS,1,1,False,60,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-auroa-school,Auroa School,entity,Taranaki,,Auroa,School ecological programme,,,,predator trapping,The school's practical project sought to improve trapping effectiveness in Taranaki.,https://www.trc.govt.nz/environment/working-together/environmental-awards/previous-winners/2020-award-winners,1,trc.govt.nz,1,03-GRASSROOTS,1,1,False,60,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-awatuna-catchment-group,Awatuna Catchment Group,entity,Taranaki,,Taranaki,Catchment group,,,,freshwater restoration | biodiversity monitoring,Collaborative group working to improve freshwater quality and ecological understanding through monitoring and fish passage assessment.,https://www.trc.govt.nz/environment/working-together/environmental-awards/previous-winners/2025-award-winners | https://www.scoop.co.nz/stories/AK2511/S00388.htm | https://www.rnz.co.nz/news/national/579677/taranaki-environmental-and-conservation-work-recognised,3,rnz.co.nz | scoop.co.nz | trc.govt.nz,1,03-GRASSROOTS,1,1,False,85,A — very strong,Tier 1 — priority LM candidate,medium,enhanced_priority_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-awatuna-auroa-farming-for-the-future,Awatuna/Auroa Farming for the Future,entity,Taranaki,,Awatuna | Auroa,Farmer-led catchment group,,,https://www.taranakicc.nz/awatuna-auroa-farming-for-the-future/,Water quality monitoring | Pest management | Fish passage monitoring,"Conducts water testing, eDNA monitoring, pest management and fish-passage monitoring.",https://www.taranakicc.nz/awatuna-auroa-farming-for-the-future/,1,taranakicc.nz,1,01-LANDSCAPE,1,1,False,66,B — strong,Tier 2 — credible candidate,high,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-awatuna-auroa-farming-for-the-future-catchment-group,Awatuna/Auroa Farming for the Future Catchment Group,entity,Taranaki,,Awatuna | Auroa,Farmer catchment collective,,,,predator control | water quality monitoring | biodiversity monitoring,Public reporting identifies eDNA and macroinvertebrate assessment alongside practical pest control.,https://nzfetrust.org.nz/news/infrastructure-investment-pasture-improvement-and-environmental-stewardship-takes-regional-supreme-winner/,1,nzfetrust.org.nz,0,03-GRASSROOTS,1,1,False,61,B — strong,Tier 2 — credible candidate,high,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-ben-melvin,Ben Melvin,entity,Taranaki,,Waitara,Stormwater Design Lead,,,,stream restoration | stormwater design,Stormwater Design Lead at Beca who contributed to the Tangaroa Stream restoration project.,https://www.beca.com/what-we-do/projects/government/te-whakaora-o-tangaroa | https://www.waternz.org.nz/Article?Action=View&Article_id=3461,2,beca.com | waternz.org.nz,0,02-PEOPLE,1,1,False,52,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-brendan-attrill,Brendan Attrill,entity,Taranaki,,Huinga,Dairy farmer,,,,riparian planting | wetland development,Farmer recognized for environmental stewardship and sustainable farm practices through the Taranaki Ballance Farm Environment Awards.,https://nzfetrust.org.nz/news/balancing-productivity-and-sustainability-sees-huinga-dairy-farmer-named-regional-supreme-winner-at-the-taranaki-ballance-farm-environment-awards/ | https://www.nzherald.co.nz/the-country/news/huinga-dairy-farmer-brendan-attrill-wins-taranaki-ballance-farm-environment-awards-2025/AVLHAJALHNA2JJED5USHQFXX7M/,2,nzfetrust.org.nz | nzherald.co.nz,0,03-GRASSROOTS,1,1,False,55,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
